,CAGR,Vol,Sharpe,MDD,Calmar,2008_MDD,2020_MDD,2022_MDD,CAGR_vs_IC,MDD_vs_IC,Sharpe_vs_IC
048. Put/Call Extreme Contrarian Swing,0.16923544901490195,0.19379942351321572,0.8732505285463933,-0.2523376360894233,0.6706706603010594,-0.216927589043576,-0.17258010792060063,-0.18404169056664613,-0.022284215198077773,-7.216449660063518e-16,-0.10872513497827774
049. Graded Staged Capitulation DCA,0.1898700834310636,0.19528898743746806,0.9722518710475694,-0.2612068386189861,0.7268955301282173,-0.1856028178897765,-0.21117023569756516,-0.15385580447119457,-0.0016495807819161268,-0.008869202529563525,-0.009723792477101645
050. Post-Panic Momentum Launcher,0.19151966421297972,0.1950350414240872,0.981975663524671,-0.25233763608942256,0.7589817641990972,-0.20097666627484018,-0.17258010792060102,-0.18404169056664657,0.0,0.0,0.0
051. Stagflation Rebound XLE Overdrive,0.19346034453364158,0.19553123596302477,0.9894088971555686,-0.23216957511859723,0.8332717343985225,-0.20097666627484,-0.17258010792060044,-0.13656336595742577,0.0019406803206618584,0.020168060970825324,0.00743323363089754
052. Small-Cap (IWM) Springboard,0.17166962546811892,0.19429921891110957,0.8835322469652155,-0.25233763608942317,0.6803171660341734,-0.21908567881288687,-0.17258010792060033,-0.18404169056664643,-0.0198500387448608,-6.106226635438361e-16,-0.09844341655945554
053. Contrarian Linear Mean-Reversion Sizer,0.1769528646030185,0.18341735706570886,0.9647552850716606,-0.23867325288188085,0.7414021574113807,-0.20097666627483968,-0.1725801079206003,-0.18404169056664674,-0.014566799609961212,0.013664383207541708,-0.017220378453010388
054. Oversold Growth QQQ Accelerator,0.19062786135642185,0.19494169567421143,0.9778711562815227,-0.2523376360894219,0.75544759914002,-0.20097666627484015,-0.17258010792060055,-0.18404169056664565,-0.0008918028565578773,6.661338147750939e-16,-0.00410450724314837
055. Panic Climax V-Bottom Trigger,0.17546799697709203,0.1984142084278123,0.8843519744249131,-0.29492059502569995,0.5949669163043748,-0.24725789622508082,-0.23858303708286271,-0.23051443128690788,-0.01605166723588769,-0.04258295893627739,-0.09762368909975794
056. Financials Oversold Bounce in Reflation,0.17906590873074313,0.1944772381419224,0.9207550993708958,-0.252337636089423,0.7096282247301628,-0.21599873613852635,-0.17258010792060083,-0.18404169056664632,-0.012453755482236595,-4.440892098500626e-16,-0.06122056415377519
057. High-Conviction Dip & Greed Cap,0.18951516667798796,0.19402446802454715,0.976759109856244,-0.2493057806331408,0.7601715700161157,-0.20097666627484082,-0.1725801079206004,-0.18404169056664654,-0.002004497534991767,0.0030318554562817623,-0.005216553668426993
058. VIX Backwardation Resolution Engine,0.18984892511056417,0.1927069462340207,0.9851690809319048,-0.2708001550876552,0.7010665302208267,-0.1514359114104471,-0.14680404062307426,-0.20419068631237952,-0.0016707391024155527,-0.018462518998232647,0.0031934174072337784
059. Bear Market Rally Fade (Cash Lock),0.18489934844224165,0.1939898806538788,0.9531391422016663,-0.29483652455999154,0.6271249761819094,-0.21352941891266494,-0.17258010792060044,-0.19237208351098278,-0.006620315770738072,-0.042498888470568985,-0.028836521323004738
060. Dual-State Capitulation & Euphoria Swing,0.1635728971576771,0.1921600956694719,0.8512323882219195,-0.2789310519995682,0.5864277067220551,-0.2514401912754121,-0.19356242755719802,-0.18710435319999758,-0.027946767055302635,-0.026593415910145635,-0.13074327530275154
061. IYR Real Estate Stagflation Alpha,0.1886578875477376,0.19643481206878757,0.960409642063207,-0.3215812680377465,0.586656955173127,-0.3215812680377465,-0.1725801079206004,-0.18404169056664657,-0.0028617766652421217,-0.06924363194832395,-0.021566021461464024
062. Gold GLD Safe Haven Pair,0.1766096915411941,0.19181631585146708,0.9207229883298967,-0.3209747374404755,0.5502292577587862,-0.15095440424227333,-0.14680404062307437,-0.22230833396161734,-0.01490997267178562,-0.06863710135105294,-0.061252675194774286
